delta1,delta2,delta3,delta4
0001,-003,0001,0001,
0002,0005,0003,0003,
0002,0005,0003,0003,
0002,0005,0003,0003,
0001,0000,0002,0000,
0001,0000,0002,0000,
0000,0000,0002,0000,
0002,0001,0001,0001,
0002,0001,0001,0001,
0004,0001,0001,0001,
0004,0002,0001,-001,
0004,0002,0001,-001,
-001,0002,0001,-001,
-001,-001,-001,0000,
-001,-001,-001,0000,
-001,-001,-001,0000,
0005,0003,0004,0003,
0005,0003,0004,0003,
0005,0003,0004,0003,
0001,0002,0002,-001,
0001,0002,0002,-001,
0001,0002,0002,-001,
-002,-001,0003,-002,
-002,-001,0003,-002,
-002,-001,0003,-002,
0000,0000,-002,0000,
0000,0000,-002,0000,
0000,0000,-002,0000,
0004,0004,0004,0003,
0004,0004,0004,0003,
