delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0042,0015,0003,0012,0016,0003,0006,0027,0013
0044,0015,0006,0012,0017,0006,0007,0029,0013
0044,0016,0007,0011,0017,0006,0007,0028,0013
0044,0016,0004,0011,0017,0006,0007,0029,0014
0043,0015,0007,0013,0018,0005,0007,0029,0014
0044,0015,0009,0011,0018,0006,0006,0029,0012
0044,0013,0006,0013,0018,0007,0006,0030,0013
0044,0016,0007,0011,0018,0006,0005,0029,0013
0045,0015,0006,0012,0018,0005,0005,0029,0013
0043,0014,0006,0011,0017,0006,0005,0027,0011
0044,0014,0006,0012,0018,0006,0006,0027,0014
0043,0014,0005,0011,0017,0006,0004,0026,0011
0045,0014,0004,0013,0017,0006,0007,0029,0015
0046,0015,0006,0013,0018,0005,0006,0027,0014
0044,0013,0008,0011,0017,0005,0006,0027,0014
0044,0013,0008,0011,0017,0005,0006,0027,0014
0044,0013,0007,0012,0016,0006,0006,0030,0014
0044,0015,0007,0012,0016,0005,0006,0028,0013
0044,0015,0007,0012,0016,0005,0006,0028,0013
0047,0015,0007,0008,0018,0005,0006,0028,0013
0043,0015,0007,0008,0017,0005,0005,0027,0014
0043,0015,0007,0009,0017,0005,0005,0027,0014
0042,0016,0007,0011,0015,0005,0005,0027,0014
0042,0014,0007,0011,0015,0005,0005,0029,0012
0042,0014,0007,0011,0015,0005,0005,0029,0012
0045,0014,0007,0012,0018,0005,0006,0029,0012
0045,0015,0006,0011,0018,0008,0006,0028,0013
0045,0015,0006,0011,0018,0008,0006,0028,0013
0044,0015,0006,0011,0018,0006,0007,0028,0014
0044,0016,0006,0011,0018,0006,0007,0029,0013
0043,0016,0006,0011,0018,0006,0007,0029,0013
0044,0016,0007,0011,0018,0006,0006,0029,0013
0044,0016,0008,0012,0017,0004,0006,0029,0014
0044,0016,0008,0012,0017,0004,0006,0029,0014
0043,0016,0007,0013,0017,0004,0007,0029,0014
0043,0014,0007,0013,0017,0005,0008,0030,0014
0043,0014,0007,0013,0017,0005,0008,0030,0014
0044,0014,0007,0013,0017,0005,0005,0028,0013
0045,0015,0007,0013,0017,0004,0005,0028,0013
0045,0015,0007,0013,0017,0004,0005,0028,0013
0044,0015,0006,0013,0018,0004,0004,0027,0014
0044,0015,0006,0013,0018,0008,0004,0027,0012
0044,0015,0006,0013,0018,0008,0004,0027,0012
0044,0015,0008,0013,0017,0008,0005,0028,0012
0044,0015,0007,0012,0017,0005,0005,0029,0014
0044,0015,0007,0012,0017,0005,0005,0029,0014
0044,0015,0005,0012,0018,0005,0005,0028,0015
0044,0016,0005,0013,0017,0006,0005,0028,0012
0044,0016,0005,0013,0017,0006,0005,0028,0012
0043,0015,0008,0013,0017,0006,0007,0030,0012
0043,0015,0006,0012,0017,0007,0005,0027,0013
0043,0015,0006,0012,0017,0007,0005,0027,0013
0045,0016,0006,0012,0017,0007,0005,0027,0013
0044,0017,0007,0012,0017,0006,0006,0027,0015
0044,0017,0007,0012,0017,0006,0006,0027,0015
