delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0045,0016,0004,0012,0018,0006,0005,0027,0012
0045,0014,0006,0012,0018,0005,0007,0029,0012
0045,0016,0006,0011,0017,0005,0006,0029,0014
0041,0016,0007,0012,0018,0006,0006,0028,0013
0046,0015,0004,0012,0016,0006,0004,0028,0011
0044,0016,0007,0012,0018,0006,0006,0027,0013
0044,0013,0004,0012,0017,0004,0005,0029,0015
0045,0012,0006,0011,0017,0004,0005,0029,0012
0045,0016,0006,0012,0018,0005,0005,0027,0012
0042,0015,0007,0010,0018,0005,0007,0026,0014
0046,0016,0005,0012,0017,0008,0003,0028,0013
0044,0015,0006,0012,0018,0006,0002,0029,0012
0044,0014,0006,0011,0016,0008,0005,0028,0014
0045,0015,0005,0013,0017,0007,0006,0029,0013
0042,0015,0008,0013,0017,0006,0005,0029,0012
0044,0015,0008,0011,0017,0005,0006,0027,0013
0045,0015,0006,0011,0019,0005,0006,0027,0013
0045,0015,0006,0011,0019,0005,0006,0027,0013
0044,0014,0006,0013,0018,0006,0005,0028,0012
0043,0014,0007,0013,0018,0006,0005,0029,0012
0043,0014,0007,0013,0018,0006,0005,0029,0012
0042,0015,0007,0012,0017,0007,0006,0029,0012
0042,0015,0007,0012,0017,0005,0006,0024,0012
0041,0015,0007,0012,0017,0005,0006,0025,0012
0044,0013,0005,0011,0017,0004,0005,0025,0014
0044,0013,0005,0011,0018,0004,0005,0027,0014
0044,0013,0005,0011,0018,0005,0005,0027,0014
0045,0016,0007,0012,0018,0005,0005,0027,0011
0046,0014,0005,0012,0018,0006,0005,0029,0011
0046,0014,0005,0012,0018,0006,0005,0029,0011
0045,0014,0005,0012,0018,0006,0005,0026,0013
0045,0016,0007,0011,0019,0005,0005,0026,0013
0045,0016,0007,0011,0019,0005,0005,0026,0013
0045,0015,0008,0011,0019,0004,0006,0029,0013
0044,0015,0008,0012,0019,0004,0006,0029,0014
0044,0015,0008,0012,0019,0004,0006,0029,0014
0044,0014,0006,0011,0018,0006,0006,0029,0013
0046,0014,0006,0011,0018,0005,0006,0029,0013
0046,0014,0006,0011,0018,0005,0006,0029,0013
0044,0015,0007,0011,0019,0005,0006,0029,0013
0044,0017,0007,0012,0018,0006,0006,0026,0013
0044,0017,0007,0012,0018,0006,0006,0026,0013
0044,0015,0006,0012,0017,0006,0005,0026,0013
0044,0015,0006,0012,0017,0005,0005,0026,0013
0044,0015,0006,0012,0017,0005,0005,0026,0013
0045,0015,0005,0013,0017,0005,0004,0027,0013
0043,0015,0005,0012,0018,0004,0004,0027,0013
0043,0015,0005,0012,0018,0004,0004,0027,0013
0043,0013,0006,0012,0018,0004,0005,0028,0013
0044,0013,0006,0013,0018,0005,0005,0028,0013
0044,0013,0006,0013,0018,0005,0005,0028,0013
0044,0015,0007,0012,0017,0005,0006,0028,0013
0044,0015,0007,0012,0017,0005,0006,0028,0012
0044,0015,0007,0011,0017,0005,0006,0028,0012
0043,0014,0007,0012,0016,0006,0005,0029,0012
