delta1,delta2,delta3,delta4
-0001,00010,00004,00004
00000,00001,00002,00001
00000,00002,00002,00004
00000,00006,00002,00001
00000,00006,00002,00002
-0001,00003,00003,00003
-0001,00004,00000,-0002
-0002,00001,00000,00003
00000,00001,00004,00006
00001,00000,00002,00004
00002,00004,00001,00003
00000,00004,00003,00004
00002,00008,00002,00000
00002,00006,00001,-0006
00002,00003,00000,00002
00002,00003,00000,-0001
-0002,00007,00000,00003
00002,00007,00005,00003
00000,00006,00003,00006
-0002,00005,00006,00009
-0001,00009,00005,00009
-0002,00006,00002,00006
-0001,00009,00005,00008
-0001,00006,00000,00006
-0002,00001,-0001,00003
-0001,00009,00000,00004
00002,00003,00004,00007
00001,00002,00002,00009
-0001,00010,00002,-0007
00001,00007,00004,00006
-0002,00009,00002,00007
-0001,00008,00002,00005
00001,00006,00001,00006
-0001,00010,00001,00005
00002,00004,00004,00004
00001,00005,00003,00004
-0001,-0001,00000,00001
00000,00006,00003,00007
00000,00001,00003,00005
00001,00005,00005,00006
-0002,00001,00001,00000
00000,00010,-0001,00002
00002,-0002,00004,00003
00000,00001,00004,00007
00000,00003,00001,00002
00001,00003,00002,00000
00000,00002,00003,00004
-0001,00003,00003,00006
-0001,00000,00000,00002
-0001,00004,00001,00005
00001,00001,00004,00004
00000,00006,00006,00004
-0001,00000,00001,00003
-0001,00002,00001,00006
00001,00006,00003,00001
