delta1,delta2,delta3,delta4
00006,00002,00002,-0002
00003,00000,00001,-0001
00001,-0003,00000,00000
00001,00004,00001,-0003
00002,00004,00001,-0004
00000,00005,00003,-0001
-0001,00004,00001,-0001
00000,00005,00000,00002
00004,-0003,00003,-0002
00002,00002,00002,00001
00000,00001,00005,00002
00002,00002,00002,00007
00001,00008,00002,00001
00002,00005,00001,00000
00002,00002,00000,00001
00002,00011,-0001,-0001
00003,00010,00004,00002
00003,00006,00001,00006
00001,00006,00002,00003
00002,00004,00002,00006
00002,00007,00001,-0002
00001,00001,00000,00003
00004,00009,00000,00005
00002,00012,00000,-0004
00004,00007,00004,00002
00001,00002,00002,00000
00001,-0009,00003,00005
00000,00001,00003,00006
00001,00007,00001,00001
00000,00002,00000,00003
00001,00005,00000,00000
00000,00004,00000,-0003
00003,00014,00000,00003
00004,-0001,00000,00002
00002,00008,00001,00004
00001,-0004,00002,00001
00001,00010,00004,00004
00001,00002,00001,00001
00002,00004,00000,00004
00002,00002,-0001,-0002
00001,00005,-0002,-0001
00005,-0001,00001,00000
00002,00004,00001,00000
00002,-0003,00001,00001
00001,00003,00004,00001
00002,00005,00003,00002
00003,00009,00000,00000
00002,00004,-0001,-0001
00003,00013,00000,-0004
00003,00007,00003,00001
00002,00004,00002,00005
00003,00006,00003,-0003
00001,00008,00003,00008
00001,00005,00003,00001
00000,00006,00001,00002
