delta1,delta2,delta3,delta4
-0004,00002,00001,00004
-0001,-0004,-0001,-0006
00001,-0002,-0001,00000
00003,-0004,00001,00000
00002,-0008,00001,-0001
-0001,-0007,00001,-0003
00001,-0003,00001,-0004
00000,00000,00001,-0003
-0001,00000,00002,-0004
-0001,-0009,00001,-0003
00001,00004,00000,00002
-0002,-0004,00001,00002
-0001,00000,00001,00001
00000,-0004,-0001,-0001
00003,-0005,00001,00000
00001,00007,00001,-0005
-0001,00002,00004,00003
-0002,00007,00002,-0003
00000,00003,00002,-0001
00002,00005,00002,00003
00001,00003,00002,00004
00002,-0001,00000,00004
00000,00000,00001,00004
00000,00003,-0001,00001
00000,00001,00000,00002
00003,00002,00003,00001
00003,-0005,00001,00002
00002,00003,00002,00000
00001,00002,00002,00000
00002,00004,00002,-0002
00000,00002,00003,00007
00000,00003,-0001,00003
00001,-0003,00000,00004
00002,00005,-0002,-0002
00002,-0001,00000,-0003
00002,00004,00001,00001
00001,-0001,00000,-0003
00000,00001,00001,-0001
00001,-0002,00001,-0001
00000,00004,00002,00004
00001,-0003,00000,-0003
00000,-0003,00003,00003
00001,-0003,00000,-0002
00000,-0001,-0001,00000
-0002,-0002,-0001,00003
00003,00008,00001,-0001
00002,-0006,00001,00000
00000,-0006,00001,00000
-0001,-0003,00001,-0004
00000,00001,00001,-0002
00002,00000,00001,00000
00001,00002,00001,-0004
00002,00000,00000,-0003
00000,00000,-0001,00001
00001,00001,-0002,-0005
