delta1,delta2,delta3,delta4
0000,-001,-001,0001,
0003,0004,0003,0010,
0003,0004,0003,0010,
0003,0004,0003,0010,
0005,0004,0001,0003,
0005,0004,0001,0003,
0005,0004,0001,0003,
0003,0004,0002,0005,
0003,0004,0002,0005,
0003,0004,0002,0005,
0000,0000,0002,-002,
0000,0000,0002,-002,
0000,0000,0002,-002,
0002,-001,0001,-001,
0002,-001,0001,-001,
0002,-001,0001,-001,
-001,0001,-001,0001,
-001,0001,-001,0001,
-001,0001,-001,0001,
-002,0000,-004,0000,
-002,0000,-004,0000,
-002,0000,-004,0000,
0003,0004,0003,0004,
0003,0004,0003,0004,
0003,0004,0003,0004,
0000,-002,-002,0002,
0000,-002,-002,0002,
0000,-002,-002,0002,
0000,0000,-002,0001,
0000,0000,-002,0001,
