delta1,delta2,delta3,delta4
0004,0003,0005,0004,
0004,0003,0005,0004,
0004,0006,0002,0003,
0004,0006,0002,0003,
0004,0006,0002,0003,
-002,0001,0002,0003,
-002,0001,0002,0003,
-003,0001,0002,0003,
-001,0001,-003,-001,
-001,0001,-003,-001,
-001,0001,-003,-001,
0001,0000,-002,-001,
0001,0000,-002,-001,
0002,0000,-002,-001,
0002,-002,-001,0001,
0002,-002,-001,0001,
-001,-002,-001,0001,
-002,-001,0001,0001,
-002,-001,0001,0001,
-004,-001,0001,0001,
-002,0000,0000,-001,
-002,0000,0000,-001,
-002,0000,0000,-001,
0000,0004,0001,0005,
0000,0004,0001,0005,
0000,0004,0001,0005,
0000,0000,-001,-001,
0000,0000,-001,-001,
0000,0000,-001,-001,
-002,0000,-001,-001,
