delta0,delta1,delta2,delta3,delta4
0003,0000,0001,0001,0004
0004,0000,0001,0001,0004
0005,0003,-003,-003,0000
0005,0003,-003,-003,0000
0005,0003,-003,-002,0000
0001,-001,-002,-002,0001
0001,-001,-002,-002,0001
-002,-001,-002,-002,0001
0004,0002,0002,-002,0001
0004,0002,0002,-002,0001
0004,0002,0002,-002,0001
0003,0000,0002,0003,0004
0003,0000,0002,0003,0004
0003,0000,0002,0003,0004
0006,0004,-002,-003,0001
0006,0004,-002,-003,0001
0006,0004,-002,-003,0000
0000,0001,0004,0003,0002
0000,0001,0004,0003,0002
0000,0001,0004,0003,0002
0002,0002,0004,0001,0002
0002,0002,0004,0001,0002
0002,0002,0004,0001,0002
0001,0001,0000,-003,0001
0001,0001,0000,-003,0001
0001,0001,0000,-003,0001
0000,0000,0000,0001,0001
0000,0000,0000,0001,0001
0000,0000,0000,0001,0001
-001,0003,-001,-004,0000
