delta0,delta1,delta2,delta3,delta4
-001,0002,0003,0005,0002
0005,0002,-001,0003,-001
0005,0002,-001,0003,-001
0005,0002,-001,0003,-001
0003,0002,0003,0007,0003
0003,0002,0003,0007,0003
0003,0002,0003,0007,0003
0001,0002,-002,0003,0002
0001,0002,-002,0003,0002
0001,0002,-002,0003,0002
0005,0004,0001,0000,0002
0005,0004,0001,0000,0002
0005,0004,0001,-001,0002
0001,-001,0003,0004,0003
0001,-001,0003,0004,0003
0001,-001,0003,0004,0003
-001,0000,0001,0002,0001
-001,0000,0001,0002,0001
0002,0000,0001,0002,0001
0002,0001,0003,0003,0004
0002,0001,0003,0003,0004
0000,0001,0003,0003,0004
0000,0001,0002,0002,0000
0000,0001,0002,0002,0000
0000,0001,0002,0002,0000
0006,0005,0000,0003,0002
0004,0006,0000,0003,0002
0004,0006,0000,0003,0002
0004,0006,0002,0003,0000
0004,0006,0002,0003,0000
