delta0,delta1,delta2,delta3,delta4
0002,0002,0000,-001,-001
0003,0003,0001,-001,-001
0002,0003,0001,-001,-001
0002,0003,0001,-001,-001
-001,0000,0007,0002,-001
-001,0000,0007,0002,-001
-001,0000,0007,0002,-001
0001,-001,0002,0001,0002
0001,-001,0002,0001,0002
0001,-001,0002,0001,0002
0000,0001,0002,0003,0003
0000,0001,0002,0003,0003
0000,0001,0002,0003,0003
0000,0001,-001,0004,-002
0000,0001,-001,0004,-002
0000,0001,-001,0004,-002
0000,0001,0002,0000,-001
0000,0001,0002,0000,-001
0000,0001,0002,0000,-001
0002,0000,0007,0006,-002
0002,0000,0007,0006,-002
0002,0000,0007,0006,-002
0001,0000,-002,0002,0001
0001,0000,-002,0002,0001
0001,0000,-002,0002,0001
0002,0001,0001,0000,-002
0002,0001,0001,0000,-002
0002,0001,0001,0000,-002
0001,0003,0002,0000,0000
0001,0003,0002,0000,0000
