delta0,delta1,delta2,delta3,delta4
0006,0000,0006,0000,0004
0003,-001,-001,0003,0001
0003,-001,-001,0003,0001
0003,-001,-001,0003,0001
0002,0003,-001,0003,0000
0002,0003,-001,0003,0000
0002,0003,-001,0003,0000
0007,0002,0004,0001,0003
0007,0002,0004,0001,0003
0007,0002,0004,0001,0003
0005,0001,0001,0004,0003
0005,0001,0001,0004,0003
0005,0001,0001,0004,0003
0006,0003,0001,0002,0000
0006,0003,0001,0002,0000
0006,0003,0001,0002,0000
0003,0001,-003,0001,0002
0003,0001,-003,0001,0002
0003,0001,-001,0001,0002
0006,0002,0004,0001,0006
0006,0002,0004,0001,0006
0006,0002,0004,0001,0006
0008,0002,0003,0004,0003
0008,0002,0003,0004,0003
0008,0002,0003,0004,0003
0002,0003,0003,0003,0002
0002,0003,0003,0003,0002
0002,0003,0003,0003,0002
0002,0006,0001,0006,0002
0001,0005,0000,0005,0001
