delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9
0001,-001,-002,-001,0000,0000,-001,0001,-002
0001,-001,-001,-001,-002,-001,-001,0001,-001
0001,-001,0001,-001,0000,-001,-001,0000,0001
0001,0000,0000,0000,0000,-001,0000,0000,0001
0001,0001,0000,0002,0001,0001,0001,0000,0001
0001,0000,0000,0001,0001,0000,0001,0001,0000
0002,0000,0000,0001,0001,0001,0001,0001,0001
0002,0000,0000,0001,0003,0001,0003,0002,0001
0003,0004,0000,0003,0005,0001,0003,0004,0001
0003,0005,0003,0005,0006,0001,0003,0005,0001
0003,0007,0003,0005,0008,0001,0005,0006,0001
0003,0012,0001,0005,0014,0001,0005,0007,0000
0003,0015,0001,0005,0018,0002,0004,0011,0001
0006,0019,0002,0005,0019,0002,0004,0012,0000
0006,0019,0002,0005,0023,0002,0003,0013,0002
0006,0019,0003,0005,0023,0002,0003,0013,0001
0006,0018,0002,0005,0022,0003,0003,0011,0002
0006,0017,0003,0006,0019,0004,0003,0011,0001
0005,0015,0002,0005,0018,0004,0003,0010,0001
0005,0010,0003,0004,0013,0004,0003,0007,0001
0004,0006,0003,0003,0007,0004,0003,0007,-001
0004,0006,0003,0003,0007,0005,0003,0006,-001
0004,0002,0003,0002,0006,0005,0003,0004,-001
0003,0002,0003,0002,0004,0003,0002,0003,-001
0003,0001,0001,0002,0004,0002,0001,0002,0000
0001,0000,0000,0001,0002,0001,0001,0001,-002
0003,0000,-001,0001,0000,0000,0001,0000,-001
0000,0000,-001,0000,0000,0000,0001,0000,-002
0001,0000,0000,-001,0000,0000,0001,0000,-001
0000,0000,0000,0000,0000,0000,0001,0000,-001
0001,0000,0000,0000,-001,-001,0000,0000,0000
0000,0000,0000,0000,-001,-001,0000,0000,0001
0000,-001,-001,-001,-001,-001,0000,0000,0001
0000,0000,-001,-002,-001,0000,0001,0001,0001
0000,0000,-001,-002,-001,-001,-001,0001,0001
0002,0000,-001,-002,-001,-001,0000,0000,0000
-002,0000,0000,0000,-001,-002,0000,0000,-002
0000,-001,0000,0000,0000,-002,0002,0000,-002
0000,-001,0000,0000,-001,-001,0002,0000,-001
0001,-001,0000,0000,0000,-001,0000,0000,0000
0001,-001,0000,0000,-001,-001,0000,0000,-001
0000,-001,0000,0000,0000,0000,0000,0000,-001
0000,-002,0000,0000,-001,0000,0000,-001,-001
0000,-002,0000,-001,0000,-001,0000,0000,-001
0000,-001,0000,0000,-001,-001,0000,0000,-002
-001,0000,0000,0000,0000,-001,0000,0000,-002
-001,0000,0000,0001,0000,0001,0000,0000,-001
-001,0000,0000,0001,0000,0001,0000,0000,0002
0001,0000,0000,0000,0000,0001,0000,-001,0002
-001,0000,0000,-001,0001,0001,0000,-001,0000
0001,0000,0000,-001,0001,0000,0000,-001,-001
0001,-001,0000,0000,0001,0000,0000,-001,-001
0001,-001,0000,0000,0000,0000,0000,0000,-001
0001,-001,0000,-001,0000,-001,0000,-001,-001
0001,-002,0000,-001,0000,-001,-001,-001,-002
